evaluations raw_y
1 6.8000000000
3 8.0000000000
10 9.4000000000
141 9.6000000000
174 10.0000000000
244 11.2000000000
987 12.0000000000
1374 12.2000000000
1553 12.4000000000
1565 13.2000000000
2043 13.4000000000
2091 14.0000000000
2404 14.4000000000
2701 14.6000000000
2763 14.8000000000
3316 15.0000000000
3342 15.2000000000
3666 15.4000000000
3806 15.8000000000
4988 16.0000000000
5506 16.2000000000
6169 16.4000000000
6714 16.6000000000
100000 16.6000000000
evaluations raw_y
1 6.2000000000
2 9.0000000000
54 9.2000000000
93 9.6000000000
102 10.0000000000
199 11.4000000000
662 11.6000000000
1136 12.0000000000
1679 12.2000000000
1730 12.8000000000
2198 13.6000000000
2336 14.2000000000
3072 14.6000000000
3233 15.0000000000
3712 15.2000000000
3997 15.4000000000
4225 15.6000000000
4735 15.8000000000
4989 16.0000000000
5134 16.2000000000
5579 16.4000000000
6037 16.6000000000
6098 17.0000000000
100000 17.0000000000
evaluations raw_y
1 7.0000000000
2 7.2000000000
5 7.4000000000
9 10.0000000000
261 10.4000000000
877 11.2000000000
1394 11.6000000000
1602 12.4000000000
2197 12.6000000000
2376 14.0000000000
2590 14.2000000000
3035 14.4000000000
3272 15.6000000000
3799 15.8000000000
4027 16.0000000000
4378 16.2000000000
4678 16.4000000000
5264 16.6000000000
5301 16.8000000000
5950 17.0000000000
6290 17.4000000000
100000 16.2000000000
evaluations raw_y
1 7.8000000000
6 9.0000000000
95 9.2000000000
242 9.4000000000
500 9.8000000000
779 10.0000000000
1004 10.2000000000
1008 11.2000000000
1461 11.4000000000
1698 11.8000000000
1782 12.0000000000
2036 13.0000000000
2506 13.2000000000
2737 14.0000000000
3213 14.2000000000
3385 14.4000000000
3581 14.6000000000
3710 15.0000000000
4152 15.2000000000
4155 15.4000000000
4521 15.6000000000
4607 15.8000000000
4969 16.2000000000
5923 16.4000000000
6842 16.6000000000
100000 16.6000000000
evaluations raw_y
1 7.6000000000
2 9.8000000000
80 10.2000000000
733 11.8000000000
1717 12.0000000000
1744 12.4000000000
1797 12.6000000000
2280 12.8000000000
2383 13.4000000000
2758 13.6000000000
2896 13.8000000000
3141 14.0000000000
3465 14.4000000000
3766 14.6000000000
3923 15.0000000000
4728 15.2000000000
4818 15.4000000000
4961 15.6000000000
5372 15.8000000000
5931 16.0000000000
6504 16.2000000000
7172 16.4000000000
7964 16.6000000000
100000 16.4000000000
evaluations raw_y
1 5.6000000000
2 7.4000000000
10 7.8000000000
14 8.0000000000
18 8.6000000000
40 10.2000000000
627 10.4000000000
635 10.6000000000
975 11.2000000000
1323 11.8000000000
1466 12.2000000000
1846 12.4000000000
1864 13.8000000000
2359 14.0000000000
2739 14.2000000000
2927 14.4000000000
3537 15.0000000000
3754 15.4000000000
3844 15.6000000000
4248 16.0000000000
4909 16.2000000000
5054 16.4000000000
5280 16.6000000000
5592 17.0000000000
6201 17.2000000000
6752 17.4000000000
100000 16.4000000000
evaluations raw_y
1 7.0000000000
3 7.4000000000
16 8.0000000000
26 8.4000000000
38 9.6000000000
477 10.0000000000
515 10.6000000000
567 11.0000000000
1053 11.2000000000
1572 11.8000000000
2116 12.0000000000
2372 13.0000000000
2743 13.4000000000
2994 14.4000000000
3364 14.6000000000
3734 15.0000000000
4079 15.6000000000
4212 15.8000000000
4633 16.0000000000
5081 16.6000000000
6009 16.8000000000
6280 17.0000000000
6892 17.2000000000
7170 17.4000000000
7809 17.6000000000
100000 17.2000000000
evaluations raw_y
1 5.4000000000
2 6.4000000000
4 9.0000000000
11 9.4000000000
105 9.6000000000
424 10.6000000000
529 10.8000000000
740 11.8000000000
1473 12.2000000000
1596 12.6000000000
1746 13.6000000000
2686 14.4000000000
3335 14.6000000000
3407 15.0000000000
3868 15.2000000000
4299 15.6000000000
4535 15.8000000000
5325 16.0000000000
5673 16.2000000000
6338 16.4000000000
6826 16.6000000000
100000 16.6000000000
evaluations raw_y
1 6.6000000000
3 7.2000000000
8 7.8000000000
13 8.6000000000
28 9.2000000000
99 9.6000000000
146 9.8000000000
524 11.0000000000
1314 11.4000000000
1341 12.0000000000
1490 12.2000000000
1807 13.0000000000
2581 13.8000000000
3062 14.0000000000
3249 14.4000000000
3480 14.6000000000
3680 15.4000000000
4523 15.6000000000
4588 15.8000000000
5321 16.0000000000
5765 16.2000000000
6956 16.4000000000
7189 16.6000000000
7806 16.8000000000
100000 16.6000000000
evaluations raw_y
1 8.2000000000
15 10.0000000000
32 10.2000000000
111 10.8000000000
981 11.8000000000
1709 12.0000000000
1880 12.6000000000
2504 13.4000000000
2710 13.8000000000
3161 14.0000000000
3382 14.2000000000
3597 14.4000000000
3784 14.6000000000
4123 14.8000000000
4125 15.2000000000
4648 15.4000000000
4806 15.6000000000
5269 15.8000000000
5302 16.0000000000
5999 16.2000000000
6494 16.4000000000
6835 16.6000000000
7176 16.8000000000
8248 17.0000000000
100000 17.0000000000
