evaluations raw_y
1 0.8308408109
3 0.8732099197
5 0.9769441188
6 1.2394645513
7 1.2506253127
8 1.3014055180
17 1.3068478829
20 1.3192612137
25 1.4475969890
43 1.4979029359
48 1.5384615385
52 1.9638648861
88 2.0177562550
127 2.0712510356
131 2.1645021645
132 2.1987686895
143 2.2261798753
178 2.2381378693
181 2.3877745941
188 2.4679170780
298 2.7870680045
308 3.0084235860
328 3.1055900621
495 3.2594524120
671 3.5460992908
49744 3.6927621861
50665 3.7936267071
100000 3.7936267071
evaluations raw_y
1 0.8996041742
2 1.0761945760
7 1.2581781580
15 1.4819205691
28 1.5713387806
36 1.6744809109
37 1.6903313049
51 1.7111567420
59 1.7869907076
77 1.8341892883
92 2.0275750203
102 2.0308692120
130 2.1758050479
143 2.2665457842
199 2.4582104228
271 2.5432349949
289 2.6232948583
306 2.6624068158
317 2.8441410694
371 2.8506271380
485 2.8571428571
539 2.8835063437
604 2.9446407538
632 3.1847133758
707 3.2175032175
724 3.4965034965
863 3.7821482602
992 3.9619651347
1214 4.1050903120
1281 4.3478260870
100000 4.3478260870
evaluations raw_y
1 0.8420343550
3 1.0499790004
8 1.2506253127
12 1.4836795252
28 1.6789791807
53 1.7470300489
57 1.8615040953
61 2.1385799829
91 2.2026431718
96 2.3126734505
135 2.3786869648
182 2.4485798237
227 2.6014568158
287 2.6852846402
352 2.7027027027
364 2.7995520717
389 2.8312570781
445 2.8901734104
455 2.9103608847
457 3.1928480204
471 3.4106412005
729 3.5561877667
1194 3.5868005739
1763 3.6603221083
100000 3.6603221083
evaluations raw_y
1 1.4714537964
21 1.6371971185
23 1.6545334216
29 2.0746887967
54 2.3430178069
69 2.3741690408
71 2.3832221163
132 2.6968716289
174 3.0156815440
196 3.1289111389
349 3.1367628607
445 3.2341526520
462 3.2594524120
694 3.2851511170
710 3.4013605442
735 3.5260930889
1259 3.7037037037
1956 3.7147102526
15306 3.8520801233
100000 2.9940119760
evaluations raw_y
1 0.9716284493
4 1.5384615385
13 1.6677785190
28 1.7618040874
35 1.7998560115
43 1.9425019425
44 1.9455252918
64 2.1204410517
81 2.1496130696
109 2.2542831380
140 2.4533856722
158 2.4777006938
166 2.5075225677
188 2.5329280648
270 2.5906735751
286 2.6068821689
299 2.6288117771
306 2.9515938607
337 2.9585798817
381 3.0674846626
434 3.2175032175
445 3.2594524120
813 3.3557046980
1267 3.3647375505
1503 3.4106412005
1571 3.4199726402
1584 3.5161744023
2072 3.5460992908
100000 3.5460992908
evaluations raw_y
1 0.7185972981
3 1.0117361392
5 1.3698630137
19 1.4662756598
23 1.7946877243
41 2.1349274125
119 2.3041474654
198 2.3084025854
205 2.3430178069
207 2.4437927664
214 2.4485798237
230 2.6068821689
267 2.7203482046
271 2.8376844495
309 2.9377203290
392 3.0156815440
440 3.1766200762
452 3.3738191633
100000 2.3651844844
evaluations raw_y
1 0.8781173165
3 1.2543903663
4 1.3974287311
14 1.4261266400
22 1.4293882218
31 1.4662756598
36 1.5954052329
45 1.7642907551
55 1.8615040953
70 1.8867924528
86 1.8925056775
94 1.9762845850
133 2.0308692120
142 2.0341741253
147 2.2026431718
178 2.2542831380
192 2.3255813953
206 2.3474178404
209 2.3518344309
211 2.5641025641
231 2.6123301985
236 2.6968716289
275 3.0012004802
306 3.0229746070
503 3.1055900621
734 3.1289111389
5714 3.2679738562
6030 3.3025099075
6035 3.6390101892
6406 3.6496350365
6474 3.7593984962
6480 3.9370078740
6514 4.0257648953
100000 3.7707390649
evaluations raw_y
1 1.0429703796
2 1.4714537964
17 1.4836795252
23 1.5576323988
30 1.8982536067
47 2.0145044319
68 2.1276595745
72 2.1910604733
76 2.3518344309
205 2.3877745941
206 2.5588536336
231 2.6968716289
246 2.8901734104
555 2.9655990510
556 3.0303030303
607 3.1133250311
657 3.3025099075
695 3.3288948069
749 3.3738191633
813 3.3829499323
960 3.4199726402
1261 3.6075036075
100000 2.5075225677
evaluations raw_y
1 1.2722646310
8 1.3109596224
13 1.5994881638
23 1.6479894529
55 1.9794140934
65 2.0610057708
88 2.0712510356
107 2.3126734505
114 2.3518344309
134 2.5227043391
157 2.6014568158
203 2.6399155227
231 2.6910656620
234 2.7563395810
240 2.7995520717
334 2.9940119760
552 3.2509752926
28471 3.3557046980
28681 3.4578146611
28707 3.7821482602
28857 3.9123630673
30664 4.0128410915
100000 4.0128410915
evaluations raw_y
1 1.2468827930
3 1.6949152542
21 1.7519271198
31 2.1385799829
54 2.2182786158
56 2.2831050228
76 2.3126734505
98 2.3169601483
100 2.3923444976
121 2.4727992087
163 2.4826216485
201 2.5176233635
241 2.7746947836
311 2.8702640643
457 2.9585798817
513 3.1766200762
969 3.2765399738
975 3.3377837116
22456 3.5260930889
34885 3.8759689922
100000 2.9377203290
