evaluations raw_y
1 1.0734220696
2 1.3819789939
16 1.4475969890
28 1.5069318867
32 1.5576323988
36 1.5852885225
44 1.5893197711
46 1.6118633140
48 1.6835016835
57 1.8587360595
60 1.9607843137
71 2.0016012810
78 2.0508613618
102 2.0576131687
124 2.0955574183
131 2.1385799829
133 2.3518344309
155 2.3562676720
156 2.3923444976
176 2.5906735751
267 2.9103608847
283 2.9171528588
297 2.9655990510
369 3.1055900621
1008 3.1210986267
1052 3.2594524120
1134 3.3200531208
1214 3.4965034965
1334 3.5063113604
1349 3.6179450072
1751 3.6284470247
9539 4.0387722132
9717 4.1597337770
9744 4.2016806723
9767 4.3936731107
9841 4.4091710758
18530 4.4404973357
22504 4.6040515654
22689 4.6210720887
100000 4.6210720887
evaluations raw_y
1 1.0125556906
2 1.2321340562
6 1.3506212858
12 1.4326647564
18 1.6633399867
25 1.8129079043
41 1.9825535289
43 2.0275750203
54 2.1061499579
68 2.1720243267
91 2.1910604733
99 2.4582104228
143 2.7870680045
172 2.8121484814
175 2.8702640643
226 3.0599755202
302 3.0978934325
303 3.1605562579
315 3.2851511170
496 3.4013605442
570 3.6284470247
571 3.6390101892
709 3.6818851252
720 3.8759689922
736 3.9370078740
82142 4.0128410915
82564 4.0518638574
82624 4.1186161450
82667 4.1322314050
98730 4.2589437819
100000 4.2589437819
evaluations raw_y
1 0.7869058861
2 1.3333333333
9 1.6265452180
23 1.9186492709
40 1.9516003123
84 2.0712510356
100 2.1097046414
118 2.1349274125
133 2.2381378693
145 2.3169601483
165 2.3651844844
174 2.5853154085
192 2.6567481403
211 2.6624068158
233 2.6910656620
240 2.7262813522
273 2.7442371021
274 2.8835063437
296 2.9585798817
314 3.0750307503
363 3.0826140567
412 3.1055900621
460 3.5561877667
720 3.7593984962
908 3.8167938931
6748 3.8880248834
6894 4.0783034258
100000 4.0783034258
evaluations raw_y
1 1.2013455070
6 1.6501650165
29 1.7018379850
35 1.7277125086
37 1.8782870023
42 1.8953752843
67 2.1459227468
76 2.1720243267
112 2.2065313327
134 2.2341376229
140 2.2542831380
194 2.3255813953
209 2.6123301985
237 2.7027027027
239 3.0229746070
353 3.0750307503
380 3.1210986267
389 3.2258064516
508 3.4293552812
523 3.4965034965
838 3.5460992908
11937 3.5868005739
12047 3.6710719530
12148 3.7257824143
12202 3.7821482602
12388 4.0387722132
12441 4.2735042735
100000 4.2735042735
evaluations raw_y
1 1.0421008754
2 1.0429703796
5 1.3054830287
8 1.4164305949
23 1.4749262537
25 1.5772870662
33 1.7229496899
41 1.8670649739
53 2.0990764064
63 2.1385799829
78 2.1459227468
79 2.1570319241
90 2.2301516503
102 2.2421524664
134 2.2956841139
160 2.3696682464
163 2.4342745862
188 2.4777006938
249 2.4826216485
285 2.7027027027
393 2.7442371021
437 2.7502750275
452 2.8702640643
534 2.9585798817
603 3.0674846626
715 3.1055900621
737 3.1289111389
745 3.6075036075
889 3.7257824143
966 3.8759689922
991 3.9370078740
54665 4.1736227045
100000 2.8968713789
evaluations raw_y
1 0.9596928983
3 1.1246063878
5 1.3850415512
13 1.4293882218
16 1.6181229773
33 1.7470300489
48 1.8504811251
67 1.9577133908
92 1.9952114924
100 2.0016012810
125 2.1496130696
126 2.2914757104
178 2.3386342376
181 2.5278058645
186 2.7563395810
223 2.8121484814
289 2.9171528588
323 2.9940119760
400 3.0084235860
405 3.0156815440
444 3.0450669915
508 3.4770514604
698 3.5260930889
722 3.7257824143
67343 3.8284839204
70138 3.8759689922
100000 2.7262813522
evaluations raw_y
1 1.1853959222
2 1.1887779363
4 1.7421602787
32 2.4485798237
70 2.5799793602
78 2.8058361392
106 3.0156815440
148 3.5765379113
503 3.8051750381
14927 3.8284839204
14941 3.9619651347
15438 4.0257648953
15513 4.2589437819
15526 4.2735042735
15800 4.3478260870
15965 4.3936731107
16016 4.4091710758
16223 4.4563279857
54681 4.4883303411
68698 4.5207956600
100000 3.9370078740
evaluations raw_y
1 0.9269558769
2 1.0570824524
5 1.4997000600
19 1.7088174983
27 1.7253278123
42 1.7618040874
44 1.8129079043
56 1.9305019305
59 2.0408163265
64 2.0576131687
78 2.6455026455
131 2.6624068158
184 2.7502750275
204 2.8312570781
266 3.2679738562
278 3.3829499323
596 3.3921302578
694 3.4013605442
12047 3.4965034965
100000 3.3921302578
evaluations raw_y
1 0.9394964299
3 1.1558021267
9 1.5197568389
14 1.5403573629
17 1.6015374760
27 1.6523463318
34 1.6903313049
39 1.6949152542
42 1.9364833462
46 1.9920318725
76 2.0210185934
117 2.0542317173
129 2.0955574183
131 2.1097046414
138 2.1570319241
147 2.3607176582
180 2.3651844844
182 2.5329280648
189 2.5484199796
206 2.6852846402
226 2.9171528588
266 2.9655990510
366 3.0303030303
423 3.1289111389
503 3.2010243278
531 3.2594524120
717 3.3377837116
796 3.4387895461
1118 3.4482758621
1146 3.4578146611
2862 3.4965034965
4836 3.5765379113
66223 3.6818851252
66497 3.8520801233
66756 3.9619651347
66798 4.0000000000
67068 4.2301184433
67095 4.2735042735
100000 4.2735042735
evaluations raw_y
1 1.0570824524
5 1.1742602161
11 1.3668671405
18 1.7088174983
21 1.7277125086
24 1.7743080199
33 1.9762845850
39 1.9920318725
41 2.1645021645
51 2.6399155227
57 2.9036004646
108 3.0826140567
171 3.0902348578
211 3.1055900621
291 3.1446540881
406 3.3025099075
458 3.3829499323
579 3.4293552812
938 3.5360678925
988 3.5460992908
1029 3.6603221083
4644 3.7037037037
4870 3.9494470774
100000 3.9494470774
