evaluations raw_y
1 4.0000000000
29 8.0000000000
176 12.0000000000
187 13.0000000000
398 14.0000000000
438 15.0000000000
597 16.0000000000
667 20.0000000000
931 23.0000000000
1101 24.0000000000
1181 25.0000000000
1343 30.0000000000
1451 31.0000000000
1464 34.0000000000
1691 35.0000000000
1981 36.0000000000
2049 37.0000000000
2344 39.0000000000
3012 45.0000000000
3075 46.0000000000
3168 48.0000000000
3331 49.0000000000
3461 52.0000000000
3600 58.0000000000
3684 59.0000000000
3768 60.0000000000
4462 61.0000000000
4511 62.0000000000
4525 70.0000000000
4791 73.0000000000
4796 76.0000000000
4886 77.0000000000
5013 78.0000000000
5090 80.0000000000
5490 82.0000000000
5955 83.0000000000
6213 88.0000000000
6415 90.0000000000
6575 96.0000000000
6852 99.0000000000
7147 100.0000000000
100000 11.0000000000
evaluations raw_y
1 0.0000000000
17 1.0000000000
92 2.0000000000
328 3.0000000000
492 4.0000000000
560 5.0000000000
845 8.0000000000
876 9.0000000000
916 10.0000000000
920 11.0000000000
1084 12.0000000000
1179 13.0000000000
1216 16.0000000000
1238 17.0000000000
1351 19.0000000000
1589 22.0000000000
1839 24.0000000000
1924 27.0000000000
1987 36.0000000000
2023 38.0000000000
2069 40.0000000000
2299 41.0000000000
2363 42.0000000000
2377 44.0000000000
2462 49.0000000000
2479 50.0000000000
2574 52.0000000000
2850 53.0000000000
3494 54.0000000000
3499 56.0000000000
3615 58.0000000000
3687 63.0000000000
3770 64.0000000000
4011 67.0000000000
4148 70.0000000000
4448 75.0000000000
4731 76.0000000000
5706 77.0000000000
5745 79.0000000000
6133 81.0000000000
6292 86.0000000000
6386 89.0000000000
6566 91.0000000000
6994 92.0000000000
7199 93.0000000000
7494 94.0000000000
7518 95.0000000000
8018 96.0000000000
8362 97.0000000000
9047 99.0000000000
9118 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
32 1.0000000000
122 2.0000000000
185 4.0000000000
261 5.0000000000
351 6.0000000000
383 10.0000000000
515 12.0000000000
553 14.0000000000
675 15.0000000000
780 17.0000000000
812 18.0000000000
908 19.0000000000
912 20.0000000000
965 22.0000000000
1030 24.0000000000
1105 26.0000000000
1203 27.0000000000
1276 28.0000000000
1502 29.0000000000
1593 30.0000000000
1627 31.0000000000
1807 36.0000000000
1811 38.0000000000
1824 39.0000000000
1988 41.0000000000
2178 43.0000000000
2362 46.0000000000
2471 48.0000000000
2500 49.0000000000
2579 54.0000000000
2637 57.0000000000
2678 58.0000000000
3010 69.0000000000
3378 74.0000000000
3473 79.0000000000
3530 80.0000000000
3941 84.0000000000
4064 89.0000000000
4070 90.0000000000
4116 92.0000000000
4498 94.0000000000
4885 97.0000000000
4977 98.0000000000
5648 99.0000000000
5671 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
55 1.0000000000
154 2.0000000000
346 5.0000000000
449 10.0000000000
489 11.0000000000
553 12.0000000000
964 13.0000000000
1028 14.0000000000
1073 15.0000000000
1098 16.0000000000
1156 17.0000000000
1404 18.0000000000
1588 19.0000000000
1608 23.0000000000
1612 30.0000000000
1790 31.0000000000
1835 32.0000000000
2035 34.0000000000
2257 38.0000000000
2520 39.0000000000
2849 41.0000000000
3456 44.0000000000
3664 45.0000000000
3924 47.0000000000
4006 48.0000000000
4084 50.0000000000
4086 52.0000000000
4144 53.0000000000
4211 56.0000000000
4237 57.0000000000
4405 59.0000000000
4598 68.0000000000
4625 69.0000000000
4899 71.0000000000
4968 76.0000000000
5476 78.0000000000
5554 82.0000000000
5691 84.0000000000
5918 89.0000000000
5941 94.0000000000
6007 96.0000000000
6213 98.0000000000
6313 99.0000000000
6391 100.0000000000
100000 100.0000000000
evaluations raw_y
1 2.0000000000
9 4.0000000000
52 5.0000000000
169 6.0000000000
265 8.0000000000
419 11.0000000000
468 13.0000000000
1049 18.0000000000
1103 19.0000000000
1138 26.0000000000
1503 28.0000000000
1850 29.0000000000
2341 30.0000000000
2398 34.0000000000
2461 36.0000000000
3048 37.0000000000
3094 41.0000000000
3249 42.0000000000
3362 44.0000000000
3403 45.0000000000
3671 46.0000000000
3935 48.0000000000
4163 49.0000000000
4193 53.0000000000
4275 56.0000000000
4454 57.0000000000
4591 62.0000000000
4621 64.0000000000
4635 65.0000000000
4669 66.0000000000
4859 71.0000000000
4886 74.0000000000
5063 80.0000000000
5272 82.0000000000
5690 83.0000000000
5835 85.0000000000
5841 86.0000000000
5957 88.0000000000
6272 89.0000000000
6401 90.0000000000
6545 92.0000000000
6654 95.0000000000
6822 96.0000000000
7095 97.0000000000
7413 99.0000000000
7963 100.0000000000
100000 100.0000000000
evaluations raw_y
1 2.0000000000
16 4.0000000000
131 5.0000000000
207 7.0000000000
261 8.0000000000
587 9.0000000000
959 12.0000000000
971 17.0000000000
1000 18.0000000000
1080 19.0000000000
1139 21.0000000000
1142 22.0000000000
1466 23.0000000000
1600 24.0000000000
1612 26.0000000000
1732 28.0000000000
1768 33.0000000000
1834 37.0000000000
1996 38.0000000000
2146 39.0000000000
2847 41.0000000000
3077 43.0000000000
3123 45.0000000000
3236 47.0000000000
3237 50.0000000000
3361 54.0000000000
3362 57.0000000000
3794 59.0000000000
3919 60.0000000000
4017 65.0000000000
4199 66.0000000000
4306 67.0000000000
4454 71.0000000000
5096 72.0000000000
5491 74.0000000000
5587 75.0000000000
5725 76.0000000000
5765 77.0000000000
5918 78.0000000000
5990 79.0000000000
6080 80.0000000000
6267 81.0000000000
6671 82.0000000000
7046 83.0000000000
7329 84.0000000000
7369 86.0000000000
7490 89.0000000000
7570 90.0000000000
7717 92.0000000000
7827 93.0000000000
8523 95.0000000000
8716 98.0000000000
9094 99.0000000000
9539 100.0000000000
100000 8.0000000000
evaluations raw_y
1 0.0000000000
247 3.0000000000
312 9.0000000000
385 10.0000000000
576 12.0000000000
727 13.0000000000
771 14.0000000000
822 21.0000000000
901 23.0000000000
1048 26.0000000000
1489 27.0000000000
1594 28.0000000000
1632 30.0000000000
2045 31.0000000000
2364 34.0000000000
2492 35.0000000000
2764 36.0000000000
2904 37.0000000000
2935 38.0000000000
2942 40.0000000000
3351 41.0000000000
3418 42.0000000000
3470 43.0000000000
3697 45.0000000000
3783 46.0000000000
3894 47.0000000000
4055 49.0000000000
4115 50.0000000000
4152 51.0000000000
4339 52.0000000000
4615 54.0000000000
4947 57.0000000000
5180 58.0000000000
5405 60.0000000000
5495 65.0000000000
5713 66.0000000000
5983 67.0000000000
6074 69.0000000000
6263 70.0000000000
6267 71.0000000000
6346 73.0000000000
6647 74.0000000000
6736 75.0000000000
7195 76.0000000000
7555 77.0000000000
7584 78.0000000000
7623 80.0000000000
7999 81.0000000000
8451 84.0000000000
8516 86.0000000000
8855 87.0000000000
