evaluations raw_y
1 -1118.0000000000
2 -1079.0000000000
12 -1040.0000000000
15 -1001.0000000000
19 -991.0000000000
28 -962.0000000000
30 -923.0000000000
31 -884.0000000000
33 -845.0000000000
40 -806.0000000000
44 -777.0000000000
52 -748.0000000000
53 -709.0000000000
54 -670.0000000000
57 -660.0000000000
76 -621.0000000000
80 -582.0000000000
91 -553.0000000000
114 -524.0000000000
115 -485.0000000000
123 -456.0000000000
125 -446.0000000000
127 -378.0000000000
141 -349.0000000000
146 -320.0000000000
151 -301.0000000000
153 -282.0000000000
156 -253.0000000000
159 -224.0000000000
167 -185.0000000000
168 -157.0000000000
211 -99.0000000000
239 -80.0000000000
249 -71.0000000000
276 -62.0000000000
294 -61.0000000000
307 -42.0000000000
338 -32.0000000000
339 -31.0000000000
355 -21.0000000000
361 -2.0000000000
373 -1.0000000000
405 8.0000000000
957 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1634.0000000000
6 -1605.0000000000
11 -1566.0000000000
15 -1537.0000000000
17 -1498.0000000000
21 -1459.0000000000
24 -1449.0000000000
31 -1410.0000000000
32 -1381.0000000000
35 -1342.0000000000
38 -1264.0000000000
41 -1225.0000000000
45 -1186.0000000000
47 -1108.0000000000
48 -1079.0000000000
51 -1050.0000000000
54 -1040.0000000000
64 -1001.0000000000
66 -962.0000000000
76 -923.0000000000
77 -884.0000000000
78 -845.0000000000
89 -835.0000000000
91 -796.0000000000
96 -767.0000000000
101 -728.0000000000
108 -689.0000000000
110 -679.0000000000
124 -640.0000000000
142 -630.0000000000
153 -611.0000000000
170 -543.0000000000
186 -514.0000000000
187 -475.0000000000
196 -446.0000000000
200 -407.0000000000
201 -388.0000000000
203 -369.0000000000
207 -340.0000000000
217 -311.0000000000
219 -282.0000000000
242 -263.0000000000
246 -234.0000000000
301 -233.0000000000
330 -204.0000000000
353 -185.0000000000
367 -175.0000000000
410 -146.0000000000
430 -137.0000000000
439 -98.0000000000
442 -89.0000000000
455 -79.0000000000
460 -60.0000000000
471 -41.0000000000
482 -22.0000000000
488 -13.0000000000
522 6.0000000000
658 7.0000000000
857 8.0000000000
9636 9.0000000000
29610 10.0000000000
evaluations raw_y
1 -1575.0000000000
10 -1536.0000000000
15 -1507.0000000000
18 -1439.0000000000
19 -1400.0000000000
20 -1322.0000000000
22 -1293.0000000000
31 -1215.0000000000
35 -1186.0000000000
37 -1147.0000000000
46 -1108.0000000000
47 -1099.0000000000
51 -1060.0000000000
52 -1021.0000000000
55 -982.0000000000
56 -904.0000000000
64 -875.0000000000
68 -846.0000000000
69 -836.0000000000
73 -797.0000000000
85 -787.0000000000
101 -748.0000000000
119 -719.0000000000
129 -680.0000000000
153 -651.0000000000
156 -622.0000000000
157 -603.0000000000
162 -574.0000000000
167 -554.0000000000
176 -515.0000000000
186 -476.0000000000
187 -437.0000000000
198 -398.0000000000
204 -369.0000000000
